Observation,TextUrn,Image,Comments
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2016C.2,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@τ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.221,0.1959,0.026,0.018",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@ὸ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.24,0.1937,0.016,0.0195",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@ν[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.254,0.1989,0.015,0.0158",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@δ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.259,0.1847,0.025,0.0308",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@ὲ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.275,0.1877,0.017,0.0225",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@χ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.29,0.1982,0.017,0.0173",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@ο[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.304,0.1989,0.011,0.0098",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@λ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.313,0.1967,0.015,0.0135",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@ω[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.327,0.1967,0.016,0.0135",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@σ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.341,0.1967,0.014,0.0143",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@α[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.353,0.1967,0.014,0.0128",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@μ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.364,0.1967,0.018,0.0173",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@έ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.379,0.1892,0.011,0.0203",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@ν[2],"urn:cite:hmt:vaimg.VA312RN-0482@0.388,0.1959,0.011,0.0173",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@π[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.413,0.1974,0.017,0.0143",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@ρ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.428,0.1989,0.012,0.0113",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@ο[2],"urn:cite:hmt:vaimg.VA312RN-0482@0.437,0.1989,0.009,0.0098",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@σ[2],"urn:cite:hmt:vaimg.VA312RN-0482@0.445,0.1989,0.014,0.0113",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@έ[2],"urn:cite:hmt:vaimg.VA312RN-0482@0.455,0.1907,0.014,0.0195",
urn:cite:op:2016C.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.55@φ[1],"urn:cite:hmt:vaimg.VA312RN-0482@0.466,0.1922,0.014,0.0195",
